,seed,num_expansions,test_acc,size,total_time,lower_bound,upper_bound
0,0,10,1.0,3.0,0.05132770538330078,22.663985865210982,28.122913649117017
1,0,100,1.0,3.0,0.08291149139404297,28.122913649117017,28.122913649117017
2,0,1000,1.0,3.0,0.11438941955566406,28.122913649117017,28.122913649117017
3,0,10000,1.0,3.0,0.14609026908874512,28.122913649117017,28.122913649117017
4,1,10,0.85,4.0,0.0527346134185791,22.20831732256571,25.444209169927888
5,1,100,0.85,4.0,0.0871133804321289,25.444209169927888,25.444209169927888
6,1,1000,0.85,4.0,0.12113285064697266,25.444209169927888,25.444209169927888
7,1,10000,0.85,4.0,0.15540623664855957,25.444209169927888,25.444209169927888
8,2,10,0.8666666666666667,3.0,0.05290627479553223,22.460511181402538,27.90999398546534
9,2,100,0.85,4.0,0.08762168884277344,27.027831924046836,27.027831924046836
10,2,1000,0.85,4.0,0.12190675735473633,27.027831924046836,27.027831924046836
11,2,10000,0.85,4.0,0.15567827224731445,27.027831924046836,27.027831924046836
12,3,10,0.8333333333333333,4.0,0.051900386810302734,22.387519166368776,24.76221930962828
13,3,100,0.8333333333333333,4.0,0.08495473861694336,24.76221930962828,24.76221930962828
14,3,1000,0.8333333333333333,4.0,0.11835074424743652,24.76221930962828,24.76221930962828
15,3,10000,0.8333333333333333,4.0,0.1509389877319336,24.76221930962828,24.76221930962828
16,4,10,0.9333333333333333,4.0,0.05197405815124512,22.473466534020595,29.2271134974117
17,4,100,0.9333333333333333,4.0,0.08557629585266113,28.671956163680164,29.2271134974117
18,4,1000,0.9333333333333333,4.0,0.11932206153869629,29.2271134974117,29.2271134974117
19,4,10000,0.9333333333333333,4.0,0.1534900665283203,29.2271134974117,29.2271134974117
