,seed,num_expansions,test_acc,size,total_time,lower_bound,upper_bound
0,1,10,0.9027777777777777,5.0,0.043784379959106445,27.23124647655065,52.617355417828634
1,1,100,0.9305555555555556,7.0,0.04938626289367676,35.35774961031905,48.12147367152099
2,1,1000,0.9305555555555556,7.0,0.16965532302856445,44.675114373453894,48.12147367152099
3,1,10000,0.9305555555555556,7.0,0.3483710289001465,48.12147367152099,48.12147367152099
4,2,10,0.8888888888888888,4.0,0.0419008731842041,27.36100122747557,50.746587350348335
5,2,100,0.9444444444444444,7.0,0.0540008544921875,35.61740624434244,48.07863610524945
6,2,1000,0.9444444444444444,7.0,0.1904454231262207,44.91662036669787,48.07863610524945
7,2,10000,0.9444444444444444,7.0,0.32684946060180664,48.07863610524945,48.07863610524945
8,3,10,0.9027777777777778,5.0,0.0371861457824707,27.147448040081144,46.765142237640234
9,3,100,0.8888888888888888,6.0,0.049204111099243164,35.43092920769527,45.63508160896329
10,3,1000,0.8888888888888888,6.0,0.15691375732421875,44.69577580848148,45.63508160896329
11,3,10000,0.8888888888888888,6.0,0.22095966339111328,45.63508160896329,45.63508160896329
12,4,10,0.9444444444444444,5.0,0.039505720138549805,27.229568787664903,52.53774279811843
13,4,100,0.9166666666666666,7.0,0.06473326683044434,35.79064324750368,49.01833306147621
14,4,1000,0.9166666666666666,7.0,0.17027544975280762,44.93420861436158,49.01833306147621
15,4,10000,0.9166666666666666,7.0,0.4050631523132324,49.01833306147621,49.01833306147621
16,5,10,0.9305555555555556,5.0,0.049250125885009766,27.297341511053425,51.44628305379688
17,5,100,0.875,6.0,0.06387615203857422,35.586006297689515,50.58288399675372
18,5,1000,0.875,6.0,0.1787889003753662,44.522467703576055,50.58288399675372
19,5,10000,0.875,6.0,0.6469430923461914,50.58288399675372,50.58288399675372
